id,product_id,product_name,manufacturer,product_category,voc_content_g_per_L,effective_voc_diluted_g_per_L,dilution_ratio,coverage_sqft_per_L,price_per_litre_cad,certifications,healthcare_approved,recommended_facility_types,compliant_jurisdiction_count,total_jurisdictions_checked,compliant_jurisdictions,non_compliant_jurisdictions,din_npn,sds_available,voc_classification,ipac_compatible,green_seal_eligible
1734,PROD-0E71E8C5,Procter & Gamble Professional DustLock Zero 700,Procter & Gamble Professional,Dust Suppressant,0.7,0.08,1:8,371,9.46,UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Community Health Centre; Diagnostic Imaging Centre; Psychiatric Facility; Rehabilitation Centre; Outpatient Surgery Centre; Emergency Department; Acute Care Hospital; Medical Office Building; Dental Clinic,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Ultra-Low VOC,Yes,No
1735,PROD-643EB594,Core Products Co. CrystalCap LM Plus,Core Products Co.,Carpet Cleaner (Encapsulation),2.9,0.09,1:32,367,14.01,Green Seal GS-37; UL ECOLOGO; UL GREENGUARD Gold,Yes,Acute Care Hospital; Medical Office Building; Dental Clinic; Community Health Centre; Rehabilitation Centre; Long-Term Care Home,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,Yes
1736,PROD-98F4FF62,Chase Products Co. LowMoist CarpetCare 200,Chase Products Co.,Carpet Cleaner (Encapsulation),6.6,6.6,RTU (Ready-to-Use),215,15.75,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Community Health Centre; Outpatient Surgery Centre; Diagnostic Imaging Centre; Dental Clinic; Rehabilitation Centre; Long-Term Care Home; Emergency Department; Psychiatric Facility; Medical Office Building,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,Yes,Low VOC,Yes,Yes
1737,PROD-9A5FBE5A,Avmor Ltd. AquaPure GP 200,Avmor Ltd.,General Purpose Cleaner,4.9,0.04,1:128,418,7.68,UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold,Yes,Community Health Centre; Long-Term Care Home; Rehabilitation Centre; Diagnostic Imaging Centre,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Ultra-Low VOC,Yes,No
1738,PROD-BBCC230B,Carroll Company TextileCare Softener 500,Carroll Company,Fabric Softener (Institutional),5.2,0.03,1:200,,12.58,UL ECOLOGO,Yes,Emergency Department; Rehabilitation Centre; Long-Term Care Home,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
1739,PROD-1E0C70E4,3M Commercial Solutions OdorNeutral Spray 1000,3M Commercial Solutions,Air Freshener (Spray),26.8,26.8,RTU (Ready-to-Use),1637,15.14,None,No,,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,No,No
1740,PROD-E7CED6D0,Swish Maintenance UrbanClean Graffiti Ultra,Swish Maintenance,Graffiti Remover,40.8,40.8,RTU (Ready-to-Use),24,42.22,None,No,,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,No,No
1741,PROD-4245881D,Chase Products Co. InfectiKill RTU Plus,Chase Products Co.,Disinfectant (Spray),52.0,52.0,RTU (Ready-to-Use),389,7.76,None,No,,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,DIN 02249123,Yes,Standard,No,No
1742,PROD-80676082,Sani Professional QuatSan Food Max,Sani Professional,Sanitizer (Food Contact),7.7,7.7,RTU (Ready-to-Use),344,14.86,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice,Yes,Dental Clinic; Medical Office Building; Psychiatric Facility; Long-Term Care Home; Rehabilitation Centre; Outpatient Surgery Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,DIN 02251794,Yes,Low VOC,Yes,Yes
1743,PROD-AE33422A,Carroll Company ProTech Neutral Select,Carroll Company,General Purpose Cleaner,3.7,0.03,1:128,430,16.87,Green Seal GS-37; UL GREENGUARD Gold,Yes,Psychiatric Facility; Emergency Department; Outpatient Surgery Centre; Rehabilitation Centre; Acute Care Hospital; Community Health Centre; Medical Office Building; Dental Clinic; Long-Term Care Home,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,Yes
1744,PROD-D06AA3C1,Betco Corporation SurfaceSilk Furniture Max,Betco Corporation,Furniture Maintenance Product,3.5,3.5,RTU (Ready-to-Use),284,19.89,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold,Yes,Psychiatric Facility; Outpatient Surgery Centre; Emergency Department; Acute Care Hospital; Medical Office Building; Rehabilitation Centre; Community Health Centre; Diagnostic Imaging Centre; Long-Term Care Home,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,Yes
1745,PROD-B474928D,SC Johnson Professional BioDefend Dilutable GS,SC Johnson Professional,Disinfectant (Concentrate),4.5,0.03,1:128,513,31.26,Green Seal GS-37; EPA Safer Choice; LEED v4 Compliant,Yes,Psychiatric Facility; Long-Term Care Home; Community Health Centre; Medical Office Building; Emergency Department; Acute Care Hospital; Outpatient Surgery Centre; Diagnostic Imaging Centre; Dental Clinic,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,DIN 02261300,Yes,Ultra-Low VOC,Yes,Yes
1746,PROD-E3F4EC99,SC Johnson Professional TileGuard Plus 500,SC Johnson Professional,Bathroom and Tile Cleaner,7.8,0.12,1:64,449,19.27,UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Rehabilitation Centre; Diagnostic Imaging Centre; Psychiatric Facility; Emergency Department; Community Health Centre; Long-Term Care Home,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
1747,PROD-99E9699B,Diversey Holdings SoftTouch Institutional Max,Diversey Holdings,Fabric Softener (Institutional),7.1,0.04,1:200,,11.66,EPA Safer Choice; LEED v4 Compliant,Yes,Rehabilitation Centre; Emergency Department; Dental Clinic; Medical Office Building; Psychiatric Facility; Outpatient Surgery Centre,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
1748,PROD-3320E95F,3M Commercial Solutions QuickDry Encap EC,3M Commercial Solutions,Carpet Cleaner (Encapsulation),8.8,0.52,1:16,273,30.32,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice,Yes,Dental Clinic; Outpatient Surgery Centre; Acute Care Hospital; Rehabilitation Centre; Medical Office Building; Long-Term Care Home; Emergency Department; Community Health Centre; Diagnostic Imaging Centre; Psychiatric Facility,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,Yes
1749,PROD-4A128EEF,Avmor Ltd. AdhesiOff Pro LV,Avmor Ltd.,Adhesive Remover,28.4,28.4,RTU (Ready-to-Use),34,14.12,None,No,,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,Yes,Low VOC,No,No
1750,PROD-4C310207,Sani Professional SteelShine Polish LV,Sani Professional,Metal Polish/Cleanser,16.3,16.3,RTU (Ready-to-Use),93,16.5,None,No,,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,No,Low VOC,Conditional,No
1751,PROD-8D11447D,Dustbane Products FabriSoft HC GS,Dustbane Products,Fabric Softener (Institutional),1.9,0.02,1:100,,9.68,UL ECOLOGO; EPA Safer Choice,Yes,Rehabilitation Centre; Acute Care Hospital; Long-Term Care Home; Diagnostic Imaging Centre; Medical Office Building; Outpatient Surgery Centre; Community Health Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,No
1752,PROD-8284E78E,Clorox Professional ThermalWash Pro Ultra,Clorox Professional,Laundry Detergent (Institutional),7.7,0.04,1:200,,7.83,Green Seal GS-37; UL ECOLOGO,Yes,Diagnostic Imaging Centre; Outpatient Surgery Centre; Long-Term Care Home,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,Yes
1753,PROD-5AC2451C,Swish Maintenance CleanSight 700,Swish Maintenance,Glass Cleaner,6.7,0.1,1:64,611,10.74,UL ECOLOGO; EPA Safer Choice,Yes,Emergency Department; Psychiatric Facility; Rehabilitation Centre; Outpatient Surgery Centre; Community Health Centre; Diagnostic Imaging Centre,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,Yes,Low VOC,Yes,No
1754,PROD-C890113A,Enviro-Solutions NoRinse FC-200 300,Enviro-Solutions,Sanitizer (Food Contact),6.4,0.05,1:128,220,8.95,Green Seal GS-37; UL ECOLOGO; LEED v4 Compliant,Yes,Rehabilitation Centre; Medical Office Building; Dental Clinic; Community Health Centre; Psychiatric Facility,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,DIN 02239683,Yes,Low VOC,Yes,Yes
1755,PROD-18C8E0FA,Essential Industries EncapDry Carpet 300,Essential Industries,Carpet Cleaner (Encapsulation),8.6,8.6,RTU (Ready-to-Use),491,15.41,UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Dental Clinic; Medical Office Building; Diagnostic Imaging Centre; Community Health Centre; Outpatient Surgery Centre; Emergency Department; Psychiatric Facility; Rehabilitation Centre,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
1756,PROD-26CE996B,Swish Maintenance SoftTouch Institutional 100,Swish Maintenance,Fabric Softener (Institutional),2.2,0.01,1:200,,7.4,UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold,Yes,Long-Term Care Home; Acute Care Hospital; Emergency Department; Outpatient Surgery Centre; Psychiatric Facility; Diagnostic Imaging Centre; Community Health Centre,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,No,Ultra-Low VOC,Yes,No
1757,PROD-C3EB47E1,Clorox Professional BathPro Tile & Surface LV,Clorox Professional,Bathroom and Tile Cleaner,2.6,0.08,1:32,247,9.47,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Diagnostic Imaging Centre; Acute Care Hospital; Long-Term Care Home,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,Yes
1758,PROD-BB29A9B9,Buckeye International FiberPure HWE HD,Buckeye International,Carpet Cleaner (Extraction),3.5,0.11,1:32,113,12.69,UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Acute Care Hospital; Long-Term Care Home; Rehabilitation Centre; Emergency Department; Dental Clinic; Medical Office Building; Psychiatric Facility; Diagnostic Imaging Centre; Community Health Centre,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Ultra-Low VOC,Yes,No
1759,PROD-6FBF4526,GOJO Industries ResidueBreak 500,GOJO Industries,Adhesive Remover,12.0,12.0,RTU (Ready-to-Use),42,17.44,UL ECOLOGO,No,,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Low VOC,Conditional,No
1760,PROD-AAFEDF8D,Clorox Professional AdhesiOff Pro Ultra,Clorox Professional,Adhesive Remover,12.8,12.8,RTU (Ready-to-Use),62,21.73,EPA Safer Choice,No,,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Low VOC,Conditional,No
1761,PROD-FDF49072,Multi-Clean Inc. OmniClean Daily 700,Multi-Clean Inc.,General Purpose Cleaner,2.0,0.02,1:128,676,12.13,EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Outpatient Surgery Centre; Emergency Department; Medical Office Building; Dental Clinic; Acute Care Hospital; Diagnostic Imaging Centre; Psychiatric Facility; Long-Term Care Home; Community Health Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,No
1762,PROD-2DA89C42,3M Commercial Solutions PorcelainPure 1000,3M Commercial Solutions,Toilet/Urinal Care Product,11.9,11.9,RTU (Ready-to-Use),154,8.25,UL ECOLOGO; EPA Safer Choice,No,,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
1763,PROD-5C633FF3,Pioneer Eclipse FabriSoft HC 300,Pioneer Eclipse,Fabric Softener (Institutional),0.5,0.0,1:100,,7.67,Green Seal GS-37; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Dental Clinic; Acute Care Hospital; Psychiatric Facility; Emergency Department; Medical Office Building; Community Health Centre; Diagnostic Imaging Centre; Rehabilitation Centre; Long-Term Care Home; Outpatient Surgery Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,Yes
1764,PROD-CB3002A6,Pioneer Eclipse InoxBright 100,Pioneer Eclipse,Stainless Steel Cleaner,13.1,13.1,RTU (Ready-to-Use),202,8.54,UL ECOLOGO; EPA Safer Choice,No,,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
1765,PROD-CDBEF870,Zep Inc. NoRinse FC-200 Plus,Zep Inc.,Sanitizer (Food Contact),3.4,0.01,1:256,371,17.51,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold,Yes,Diagnostic Imaging Centre; Emergency Department; Dental Clinic,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,DIN 02266060,Yes,Ultra-Low VOC,Yes,Yes
1766,PROD-FAB57C2C,Dustbane Products GraffitiGone Pro EC,Dustbane Products,Graffiti Remover,36.6,36.6,RTU (Ready-to-Use),45,42.59,None,No,,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,Yes,Low VOC,No,No
1767,PROD-786DDD09,Rochester Midland Corporation DeepClean Carpet Extract 200,Rochester Midland Corporation,Carpet Cleaner (Extraction),3.7,0.11,1:32,242,12.77,EPA Safer Choice; LEED v4 Compliant,Yes,Psychiatric Facility; Emergency Department; Diagnostic Imaging Centre; Community Health Centre,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Ultra-Low VOC,Yes,No
1768,PROD-BABFD0E9,Procter & Gamble Professional CleanAir Mist Select,Procter & Gamble Professional,Air Freshener (Spray),18.2,18.2,RTU (Ready-to-Use),1158,6.21,EPA Safer Choice,No,,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,Yes,Low VOC,Conditional,No
1769,PROD-EDA7654E,Hillyard Inc. StripMaster Zero-VOC Ultra,Hillyard Inc.,Floor Wax Stripper,0.9,0.1,1:8,263,33.03,UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Community Health Centre; Dental Clinic; Diagnostic Imaging Centre; Psychiatric Facility; Acute Care Hospital; Outpatient Surgery Centre; Rehabilitation Centre; Medical Office Building; Long-Term Care Home,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Ultra-Low VOC,Yes,No
1770,PROD-CEF63AAA,Clorox Professional GraffitiGone Pro GS,Clorox Professional,Graffiti Remover,55.3,55.3,RTU (Ready-to-Use),30,27.58,None,No,,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Standard,No,No
1771,PROD-755D17DA,Enviro-Solutions ResidueBreak EC,Enviro-Solutions,Adhesive Remover,28.4,28.4,RTU (Ready-to-Use),74,20.49,None,No,,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,Yes,Low VOC,No,No
1772,PROD-845E3C1A,3M Commercial Solutions ParticulateGuard HD,3M Commercial Solutions,Dust Suppressant,0.9,0.05,1:16,235,15.33,EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Psychiatric Facility; Medical Office Building; Outpatient Surgery Centre,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,No,Ultra-Low VOC,Yes,No
1773,PROD-070AF97E,Ecolab Inc. TextileClean Pro 500,Ecolab Inc.,Carpet Cleaner (Extraction),5.3,0.08,1:64,120,26.26,UL ECOLOGO; EPA Safer Choice,Yes,Long-Term Care Home; Medical Office Building; Diagnostic Imaging Centre; Emergency Department,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
1774,PROD-D879888D,Delta Foremost Chemical CleanSight Pro,Delta Foremost Chemical,Glass Cleaner,10.8,0.17,1:64,907,12.88,None,No,,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
1775,PROD-79BC8FEF,Delta Foremost Chemical LaundryPro Institutional 500,Delta Foremost Chemical,Laundry Detergent (Institutional),2.8,0.01,1:200,,8.21,Green Seal GS-37; UL ECOLOGO; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Dental Clinic; Community Health Centre; Emergency Department; Medical Office Building; Psychiatric Facility,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,No,Ultra-Low VOC,Yes,Yes
1776,PROD-795D1C22,Carroll Company QuickSpot Remover EC,Carroll Company,Spot Remover,10.7,10.7,RTU (Ready-to-Use),158,23.31,UL ECOLOGO; EPA Safer Choice,No,,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Low VOC,Conditional,No
1777,PROD-CAD47E12,GOJO Industries FiberPure HWE 100,GOJO Industries,Carpet Cleaner (Extraction),8.9,0.52,1:16,278,21.84,UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Outpatient Surgery Centre; Emergency Department; Dental Clinic; Long-Term Care Home; Rehabilitation Centre; Medical Office Building; Diagnostic Imaging Centre; Community Health Centre; Psychiatric Facility,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
1778,PROD-4A25FCD1,Carroll Company BioBreak Degreaser EC,Carroll Company,General Purpose Degreaser,17.5,17.5,RTU (Ready-to-Use),302,21.42,EPA Safer Choice,No,,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,No,Low VOC,Conditional,No
